ID,MEM_REC_NO,MCID,NAME_STATUS,FIRST_NAME,LAST_NAME,MIDDLE_INITIAL,GENDER,DOB,SUBSCRIBER_ID,ZIP_CODE,COUNTRY,RESPONSE_FINAL,PROBABILITY,CONFIDENCE_SCORE
2027.0,177940.0,3870966.0,Active,Alice,Johnson,C,F,1976-01-25,168206.0,49939.0,CAN,Positive,0.69,12.99
2027.0,441962.0,3870966.0,Inactive,John,Doe,D,F,1951-06-24,414059.0,71305.0,MEX,Positive,0.9,8.03
2027.0,645558.0,3870966.0,Active,Bob,Johnson,B,F,1984-10-08,957744.0,19603.0,USA,Positive,0.14,65.65
2027.0,397338.0,3870966.0,Inactive,Bob,Smith,D,F,1990-05-25,328230.0,64922.0,CAN,Positive,0.28,73.65
2027.0,445689.0,3870966.0,Inactive,John,Doe,D,M,1972-12-01,283446.0,36438.0,USA,Positive,0.28,11.1
2027.0,100174.0,3870966.0,Inactive,John,Johnson,C,M,1995-06-20,770341.0,63702.0,MEX,Positive,0.15,89.67
2027.0,234297.0,3870966.0,Active,Alice,Johnson,B,F,1976-07-02,207262.0,43324.0,USA,Positive,0.46,93.38
2027.0,813492.0,3870966.0,Inactive,Bob,Williams,B,F,1973-04-22,986974.0,38929.0,MEX,Negative,0.83,83.6
2027.0,368073.0,3870966.0,Inactive,Bob,Doe,B,M,1988-01-10,112649.0,25800.0,CAN,Negative,0.22,17.49
2027.0,272312.0,3870966.0,Active,Alice,Johnson,C,M,1977-11-20,665375.0,24230.0,USA,Positive,0.6,47.79
2027.0,392318.0,8131714.0,Active,Bob,Smith,B,F,1969-01-03,102915.0,82860.0,MEX,Negative,0.95,19.83
2027.0,825357.0,8131714.0,Active,Alice,Johnson,B,F,1990-02-13,269776.0,37845.0,MEX,Positive,0.19,49.52
2027.0,472534.0,8131714.0,Active,Alice,Johnson,B,F,1978-06-08,403921.0,20434.0,CAN,Negative,0.43,90.67
2027.0,837465.0,8131714.0,Active,John,Williams,C,M,1966-04-12,625621.0,53482.0,CAN,Positive,0.74,78.42
2027.0,157452.0,8131714.0,Active,Bob,Doe,B,M,1961-03-26,102915.0,21967.0,MEX,Negative,0.33,33.45
2027.0,284712.0,8131714.0,Inactive,Bob,Doe,A,M,1975-05-28,890719.0,79675.0,CAN,Negative,0.75,28.55
2027.0,458123.0,8131714.0,Inactive,Bob,Doe,C,F,1976-05-07,729062.0,56794.0,CAN,Negative,0.78,67.48
2027.0,855864.0,2670744.0,Inactive,Alice,Johnson,D,M,1963-01-22,361517.0,65654.0,MEX,Negative,0.58,65.44
2027.0,100174.0,2670744.0,Active,Jane,Williams,B,F,1982-09-13,805734.0,99776.0,MEX,Positive,0.57,25.88
2027.0,404793.0,2670744.0,Active,Jane,Smith,C,M,1956-10-23,415109.0,14913.0,MEX,Positive,0.12,53.23
2027.0,797371.0,2670744.0,Inactive,Bob,Johnson,B,M,1976-04-08,831895.0,48407.0,MEX,Negative,0.97,5.6
2027.0,905152.0,2670744.0,Active,Bob,Williams,B,M,1963-04-27,978143.0,18132.0,CAN,Positive,0.66,96.81
2027.0,640770.0,2670744.0,Inactive,John,Johnson,C,F,1994-05-28,588890.0,26386.0,USA,Negative,0.48,95.95
2967.0,507972.0,2076460.0,Inactive,Alice,Johnson,C,F,1957-03-09,587832.0,90786.0,CAN,Negative,0.34,27.75
2967.0,740371.0,2076460.0,Inactive,John,Williams,B,M,1981-08-18,540638.0,33280.0,USA,Positive,0.17,54.91
2967.0,711632.0,2076460.0,Active,John,Smith,C,M,1985-05-10,906833.0,94267.0,MEX,Negative,0.78,11.27
2967.0,497846.0,2076460.0,Inactive,Alice,Johnson,A,F,1966-11-25,332450.0,46429.0,CAN,Negative,0.81,75.8
